title,pages,year published
2001: A Space Odyssey – Arthur C. Clarke,297,1968
A Bend in the River – V.S. Naipaul,336,1979
A Boy’s Own Story – Edmund White,218,1982
A Christmas Carol – Charles Dickens,104,1843
A Clockwork Orange – Anthony Burgess,213,1962
A Dance to the Music of Time – Anthony Powell,2997,1951
A Day Off – Storm Jameson,306,1959
A Disaffection – James Kelman,352,1989
A Farewell to Arms – Ernest Hemingway,332,1929
A Fine Balance – Rohinton Mistry,603,1995
A Ghost at Noon – Alberto Moravia,208,1961
A Handful of Dust – Evelyn Waugh,308,1977
A Heart So White – Javier Marias,280,1992
A Home at the End of the World – Michael Cunningham,352,1990
A Kestrel for a Knave – Barry Hines,208,1968
A Maggot – John Fowles,464,1985
A Man Asleep – Georges Perec,143,1967
A Modest Proposal – Jonathan Swift,48,1729
A Pale View of Hills – Kazuo Ishiguro,190,1982
A Passage to India – E.M. Forster,376,1924
A Portrait of the Artist as a Young Man – James Joyce,329,1916
A Prayer for Owen Meany – John Irving,637,1989
A Question of Power – Bessie Head,206,1974
A Room With a View – E.M. Forster,120,1908
A Scots Quair (Sunset Song) – Lewis Grassic Gibbon,586,1932
A Sentimental Journey – Laurence Sterne,118,1768
A Severed Head – Iris Murdoch,208,1961
A Suitable Boy – Vikram Seth,1488,1993
A Tale of a Tub – Jonathan Swift,125,1704
A Tale of Two Cities – Charles Dickens,489,1859
A Town Like Alice – Nevil Shute,359,1950
A Void/Avoid – Georges Perec,284,1969
A Woman’s Life – Guy de Maupassant,299,1883
A World of Love – Elizabeth Bowen,160,1955
Aaron’s Rod – D.H. Lawrence,348,1922
"Absalom, Absalom! – William Faulkner",320,1936
Absolute Beginners – Colin MacInnes,203,1959
Ada – Vladimir Nabokov,604,1969
Adam Bede – George Eliot,624,1859
Adjunct: An Undigest – Peter Manson,87,2004
Aesop’s Fables – Aesopus,306,-650
After the Death of Don Juan – Sylvie Townsend Warner,301,1938
After the Quake – Haruki Murakami,147,2000
Against Nature– Joris-Karl Huysmans,288,1884
Agnes Grey – Anne Brontë,272,1847
Aithiopika – Heliodorus,310,300
Albert Angelo – B.S. Johnson,180,1964
Alias Grace – Margaret Atwood,636,1996
Alice’s Adventures in Wonderland – Lewis Carroll,96,1865
All About H. Hatterr – G.V. Desani,320,1948
All Quiet on the Western Front – Erich Maria Remarque,296,1929
All Souls Day – Cees Nooteboom,200,1998
Amateurs – Donald Barthelme,184,1976
Amelia – Henry Fielding,620,1751
American Pastoral – Philip Roth,423,1997
American Psycho – Bret Easton Ellis,399,1991
Amerika – Franz Kafka,336,1927
Amok – Stefan Zweig,222,1922
Amongst Women – John McGahern,192,1990
Amsterdam – Ian McEwan,193,1998
An Artist of the Floating World – Kazuo Ishiguro,206,1986
An Obedient Father – Akhil Sharma,300,2000
Anagrams – Lorrie Moore,240,1986
Animal Farm – George Orwell,112,1945
Anna Karenina – Leo Tolstoy,940,1877
Another World – Pat Barker,288,1998
Antic Hay – Aldous Huxley,352,1923
Arcadia – Jim Crace,312,1992
Arcanum 17 – André Breton,148,1945
Around the World in Eighty Days – Jules Verne,288,1873
Arrow of God – Chinua Achebe,230,1964
As If I Am Not There – Slavenka Drakuli?,224,1999
Asphodel – H.D. (Hilda Doolittle),240,1922
At Swim-Two-Birds – Flann O’Brien,240,1939
"At Swim, Two Boys – Jamie O’Neill",562,2001
At the Mountains of Madness – H.P. Lovecraft,224,1936
Atonement – Ian McEwan,351,2001
August is a Wicked Month – Edna O’Brien,169,1965
Austerlitz – W.G. Sebald,415,2001
Auto-da-Fé – Elias Canetti,464,1935
Autumn of the Patriarch – Gabriel García Márquez,280,1971
Babbitt – Sinclair Lewis,348,1922
Back – Henry Green,218,1946
Bel-Ami – Guy de Maupassant,416,1885
Belle du Seigneur – Albert Cohen,1110,1968
Beloved – Toni Morrison,324,1987
Ben-Hur – Lew Wallace,428,1880
Berlin Alexanderplatz – Alfred Döblin,430,1929
Between the Acts – Virginia Woolf,228,1941
Billiards at Half-Past Nine – Heinrich Böll,288,1959
Billy Bathgate – E.L. Doctorow,326,1989
"Billy Budd, Foretopman – Herman Melville",160,1924
Billy Liar – Keith Waterhouse,187,1959
Birdsong – Sebastian Faulks,483,1993
Black Dogs – Ian McEwan,149,1992
Black Water – Joyce Carol Oates,160,1992
Bleak House – Charles Dickens,1017,1853
Blind Man With a Pistol – Chester Hines,192,1969
Blindness – Henry Green,214,1926
Blonde – Joyce Carol Oates,1115,2001
Blood and Guts in High School – Kathy Acker,176,1984
Blue Noon – Georges Bataille,162,1957
Bonjour Tristesse – Françoise Sagan,154,1954
Born in Exile – George Gissing,316,1891
Borstal Boy – Brendan Behan,386,1958
Bouvard and Pécuchet – Gustave Flaubert,414,1881
Brave New World – Aldous Huxley,268,1932
Breakfast at Tiffany’s – Truman Capote,178,1956
"Breakfast of Champions – Kurt Vonnegut, Jr.",302,1973
Brideshead Revisited – Evelyn Waugh,351,1944
Brighton Rock – Graham Greene,269,1938
Broken April – Ismail Kadare,224,1978
Buddenbrooks – Thomas Mann,784,1901
Bunner Sisters – Edith Wharton,136,1900
Burger’s Daughter - Nadine Gordimer,368,1979
Burmese Days – George Orwell,376,1934
By the Open Sea – August Strindberg,208,1922
Cakes and Ale – W. Somerset Maugham,308,1930
Call it Sleep – Henry Roth,462,1934
Camilla – Fanny Burney,992,1796
Cancer Ward – Aleksandr Isayevich Solzhenitsyn,576,1968
Candide – Voltaire,94,1759
Cane – Jean Toomer,144,1923
Cannery Row – John Steinbeck,181,1945
Captain Corelli’s Mandolin – Louis de Bernieres,436,2003
Casino Royale – Ian Fleming,181,1953
Castle Rackrent – Maria Edgeworth,87,1800
