number of pages	number of books
1-25	0
26-50	5
51-75	2
76-100	18
101-125	18
126-150	41
151-175	50
176-200	85
201-225	75
226-250	57
251-275	77
276-300	60
301-325	80
326-350	43
351-375	47
376-400	49
401-425	21
426-450	45
451-475	27
476-500	23
501-525	21
526-550	22
551-575	16
576-600	20
601-625	13
626-650	11
651-675	7
676-700	2
701-725	10
726-750	3
751-775	4
776-800	7
801-825	2
826-850	3
851-875	3
876-900	0
901-925	2
926-950	3
951-975	2
976-1000	4
1001-1025	3
1026-1050	2
1051-1075	1
1076-1100	1
1101-1125	2
1126-1150	1
1151-1175	1
1176-1200	0
1201-1225	0
1226-1250	1
1251-1275	0
1276-1300	1
1301-1325	1
1326-1350	0
1351-1375	0
1376-1400	1
1401-1425	0
1426-1450	0
1451-1475	1
1476-1500	1
1501-1525	0
1526-1550	1
1551-1575	0
1576-1600	0
1601-1625	0
1626-1650	0
1651-1675	0
1676-1700	0
1701-1725	1
1726-1750	0
1751-1775	0
1776-1800	0
1801-1825	1
1826-1850	0
1851-1875	0
1876-1900	0
1901-1925	0
1926-1950	0
1951-1975	0
1976-2000	0
2001-2025	0
2026-2050	0
2051-2075	0
2076-2100	0
2101-2125	0
2126-2150	0
2151-2175	0
2176-2200	0
2201-2225	0
2226-2250	0
2251-2275	0
2276-2300	0
2301-2325	0
2326-2350	0
2351-2375	0
2376-2400	0
2401-2425	0
2426-2450	0
2451-2475	0
2476-2500	0
2501-2525	0
2526-2550	0
2551-2575	0
2576-2600	0
2601-2625	0
2626-2650	0
2651-2675	0
2676-2700	0
2701-2725	0
2726-2750	0
2751-2775	0
2776-2800	0
2801-2825	0
2826-2850	0
2851-2875	0
2876-2900	0
2901-2925	0
2926-2950	0
2951-2975	0
2976-3000	2
3001-3025	0
3026-3050	0
3051-3075	0
3076-3100	0
3101-3125	0
3126-3150	0
3151-3175	0
3176-3200	0
3201-3225	0
3226-3250	0
3251-3275	0
3276-3300	0
3301-3325	0
3326-3350	0
3351-3375	0
3376-3400	0
3401-3425	0
3426-3450	0
3451-3475	0
3476-3500	0
3501-3525	0
3526-3550	0
3551-3575	0
3576-3600	0
3601-3625	0
3626-3650	0
3651-3675	0
3676-3700	0
3701-3725	1
3726-3750	0
3751-3775	0
3776-3800	0
3801-3825	0
3826-3850	0
3851-3875	0
3876-3900	0
3901-3925	0
3926-3950	0
3951-3975	0
3976-4000	0
