?subclass	?subclassLabel
<http://www.wikidata.org/entity/Q36180>	"writer"@en
<http://www.wikidata.org/entity/Q28389>	"screenwriter"@en
<http://www.wikidata.org/entity/Q49757>	"poet"@en
<http://www.wikidata.org/entity/Q152182>	Q152182
<http://www.wikidata.org/entity/Q175301>	"speechwriter"@en
<http://www.wikidata.org/entity/Q214917>	"playwright"@en
<http://www.wikidata.org/entity/Q333634>	"translator"@en
<http://www.wikidata.org/entity/Q381353>	"woman of letters"@en
<http://www.wikidata.org/entity/Q487596>	"dramaturge"@en
<http://www.wikidata.org/entity/Q551835>	"physician writer"@en
<http://www.wikidata.org/entity/Q623386>	"ghostwriter"@en
<http://www.wikidata.org/entity/Q764233>	"Geoponici"@en
<http://www.wikidata.org/entity/Q864380>	"biographer"@en
<http://www.wikidata.org/entity/Q1568338>	"technical writer"@en
<http://www.wikidata.org/entity/Q1749303>	"runemaster"@en
<http://www.wikidata.org/entity/Q3064032>	"fabulist"@en
<http://www.wikidata.org/entity/Q3589290>	"correspondent"@en
<http://www.wikidata.org/entity/Q4853732>	"children's writer"@en
<http://www.wikidata.org/entity/Q4938203>	"Boholano writers"@en
<http://www.wikidata.org/entity/Q5689489>	"head writer"@en
<http://www.wikidata.org/entity/Q6625963>	"novelist"@en
<http://www.wikidata.org/entity/Q7596574>	"staff writer"@en
<http://www.wikidata.org/entity/Q8178443>	"librettist"@en
<http://www.wikidata.org/entity/Q8246794>	"blogger"@en
<http://www.wikidata.org/entity/Q10297252>	"detective writer"@en
<http://www.wikidata.org/entity/Q11500768>	"cooking expert"@en
<http://www.wikidata.org/entity/Q12144794>	"prosaist"@en
<http://www.wikidata.org/entity/Q14466416>	"Copywriter"@en
<http://www.wikidata.org/entity/Q15949613>	"short story writer"@en
<http://www.wikidata.org/entity/Q15979013>	"surrealist writer"@en
<http://www.wikidata.org/entity/Q15980158>	"non-fiction writer"@en
<http://www.wikidata.org/entity/Q16254673>	"pamphleteer"@en
<http://www.wikidata.org/entity/Q16637669>	"Félibresse"@en
<http://www.wikidata.org/entity/Q18533509>	"medical writer"@en
<http://www.wikidata.org/entity/Q18844224>	"science fiction writer"@en
<http://www.wikidata.org/entity/Q20532870>	"Uzbek writers"@en
<http://www.wikidata.org/entity/Q21036234>	"crime writer"@en
<http://www.wikidata.org/entity/Q21140478>	"regional writer"@en
<http://www.wikidata.org/entity/Q22811127>	"devotional writer"@en
<http://www.wikidata.org/entity/Q24387326>	"mythographer"@en
<http://www.wikidata.org/entity/Q26203955>	Q26203955
<http://www.wikidata.org/entity/Q26260814>	Q26260814
<http://www.wikidata.org/entity/Q27212012>	"young adult writer"@en
<http://www.wikidata.org/entity/Q27431213>	"cookery writer"@en
<http://www.wikidata.org/entity/Q839935>	"script doctor"@en
<http://www.wikidata.org/entity/Q3026032>	"dialogue writer"@en
<http://www.wikidata.org/entity/Q3476620>	"video game writer"@en
<http://www.wikidata.org/entity/Q7620399>	"story editor"@en
<http://www.wikidata.org/entity/Q11301725>	Q11301725
<http://www.wikidata.org/entity/Q20002503>	"story artist"@en
<http://www.wikidata.org/entity/Q41775>	"Poète maudit"@en
<http://www.wikidata.org/entity/Q186370>	"troubadour"@en
<http://www.wikidata.org/entity/Q215144>	"bard"@en
<http://www.wikidata.org/entity/Q256876>	"improvvisatore"@en
<http://www.wikidata.org/entity/Q755990>	"Rishi"@en
<http://www.wikidata.org/entity/Q767975>	"Goliard"@en
<http://www.wikidata.org/entity/Q779388>	"Akhmatova's Orphans"@en
<http://www.wikidata.org/entity/Q794686>	"aoidos"@en
<http://www.wikidata.org/entity/Q822146>	"lyricist"@en
<http://www.wikidata.org/entity/Q936371>	"rhapsode"@en
<http://www.wikidata.org/entity/Q947305>	"skald"@en
<http://www.wikidata.org/entity/Q1107241>	"Coirpre"@en
<http://www.wikidata.org/entity/Q1209498>	"poet lawyer"@en
<http://www.wikidata.org/entity/Q1747339>	"trobairitz"@en
<http://www.wikidata.org/entity/Q1996467>	"trouvère"@en
<http://www.wikidata.org/entity/Q2293636>	"slam poet"@en
<http://www.wikidata.org/entity/Q2354449>	"Dichter des Vaderlands"@en
<http://www.wikidata.org/entity/Q2393424>	Q2393424
<http://www.wikidata.org/entity/Q2781593>	Q2781593
<http://www.wikidata.org/entity/Q3403391>	"Prince des poètes"@en
<http://www.wikidata.org/entity/Q3531683>	Q3531683
<http://www.wikidata.org/entity/Q7459839>	"Sha'ir"@en
